Title,human_beta,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
Biostatisticians,0.74,"Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,Scientific research and development,3,,Scientific research and development
Correspondence Clerks,0.69047619047619,Postal and courier activities,Postal and courier activities,Activities of head offices; management consultancy activities,Postal and courier activities,3,,Postal and courier activities
Personal Financial Advisors,0.69047619047619,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding",Legal and accounting activities,3,,"Financial service activities, except insurance and pension funding"
Web and Digital Interface Designers,0.683333333333333,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Information service activities,3,,"Computer programming, consultancy and related activities"
Mathematicians,0.681818181818181,Education,Education,Education,"Computer programming, consultancy and related activities",3,,Education
Transportation Planners,0.659090909090909,Warehousing and support activities for transportation,Air transport,Warehousing and support activities for transportation,Warehousing and support activities for transportation,3,,Warehousing and support activities for transportation
Digital Forensics Analysts,0.65,Security and investigation activities,Security and investigation activities,Security and investigation activities,"Computer programming, consultancy and related activities",3,,Security and investigation activities
Logistics Analysts,0.64516129032258,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Specialised construction activities,Warehousing and support activities for transportation,3,,Warehousing and support activities for transportation
Financial Quantitative Analysts,0.642857142857142,"Other professional, scientific and technical activities",Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,3,,Legal and accounting activities
Web Developers,0.637931034482758,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Information service activities,3,,"Computer programming, consultancy and related activities"
Industrial Engineers,0.625,Civil engineering,Civil engineering,Civil engineering,Manufacture of machinery and equipment n.e.c.,3,,Civil engineering
Medical Secretaries and Administrative Assistants,0.625,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",3,,"Office administrative, office support and other business support activities"
Order Clerks,0.605263157894736,Postal and courier activities,Postal and courier activities,Activities of head offices; management consultancy activities,Postal and courier activities,3,,Postal and courier activities
"Recreation and Fitness Studies Teachers, Postsecondary",0.604166666666666,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,Education,3,,Sports activities and amusement and recreation activities
Geographic Information Systems Technologists and Technicians,0.603448275862069,"Other professional, scientific and technical activities",Information service activities,Information service activities,Information service activities,3,,Information service activities
Marketing Managers,0.6,Advertising and market research,Advertising and market research,Activities of head offices; management consultancy activities,Advertising and market research,3,,Advertising and market research
Proofreaders and Copy Markers,0.59090909090909,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Publishing activities,3,,Printing and reproduction of recorded media
Penetration Testers,0.59090909090909,Security and investigation activities,Security and investigation activities,Architectural and engineering activities; technical testing and analysis,Security and investigation activities,3,,Security and investigation activities
"Communications Teachers, Postsecondary",0.58695652173913,Education,Programming and broadcasting activities,Education,Education,3,,Education
"History Teachers, Postsecondary",0.58,Education,"Libraries, archives, museums and other cultural activities",Education,Education,3,,Education
Computer Systems Engineers/Architects,0.571428571428571,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3,,"Computer programming, consultancy and related activities"
Appraisers of Personal and Business Property,0.571428571428571,Real estate activities,Real estate activities,Real estate activities,"Office administrative, office support and other business support activities",3,,Real estate activities
Instructional Coordinators,0.566666666666666,Education,"Office administrative, office support and other business support activities",Education,Education,3,,Education
New Accounts Clerks,0.566666666666666,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Activities of head offices; management consultancy activities,3,,Legal and accounting activities
Media Programming Directors,0.565217391304347,Programming and broadcasting activities,"Motion picture, video and television programme production, sound recording and music publishing activities",Programming and broadcasting activities,Programming and broadcasting activities,3,,Programming and broadcasting activities
Natural Sciences Managers,0.5625,"Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,Scientific research and development,3,,Scientific research and development
Computer and Information Systems Managers,0.558823529411764,Information service activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3,,"Computer programming, consultancy and related activities"
Medical Records Specialists,0.558823529411764,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,3,,"Other professional, scientific and technical activities"
Bioengineers and Biomedical Engineers,0.55,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
Bioinformatics Scientists,0.55,"Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,Scientific research and development,3,,Scientific research and development
Information Security Analysts,0.541666666666666,Security and investigation activities,Security and investigation activities,Security and investigation activities,Information service activities,3,,Security and investigation activities
"Social Work Teachers, Postsecondary",0.541666666666666,Social work activities without accommodation,Social work activities without accommodation,Social work activities without accommodation,Activities of households as employers of domestic personnel,3,,Social work activities without accommodation
Court Reporters and Simultaneous Captioners,0.535714285714285,Printing and reproduction of recorded media,Programming and broadcasting activities,Printing and reproduction of recorded media,Printing and reproduction of recorded media,3,,Printing and reproduction of recorded media
Epidemiologists,0.533333333333333,Human health activities,Human health activities,Human health activities,Scientific research and development,3,,Human health activities
Actuaries,0.533333333333333,Legal and accounting activities,Legal and accounting activities,Activities of extraterritorial organisations and bodies,Legal and accounting activities,3,,Legal and accounting activities
Health Information Technologists and Medical Registrars,0.53125,Information service activities,Information service activities,Information service activities,Human health activities,3,,Information service activities
Investment Fund Managers,0.525,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding",Activities auxiliary to financial services and insurance activities,3,,"Financial service activities, except insurance and pension funding"
Human Factors Engineers and Ergonomists,0.519230769230769,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of machinery and equipment n.e.c.,3,,"Other professional, scientific and technical activities"
First-Line Supervisors of Office and Administrative Support Workers,0.517241379310344,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",3,,"Office administrative, office support and other business support activities"
Data Entry Keyers,0.5,Information service activities,Security and investigation activities,Information service activities,Information service activities,3,,Information service activities
Training and Development Managers,0.5,Education,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3,,Activities of head offices; management consultancy activities
Word Processors and Typists,0.5,Repair of computers and personal and household goods,Repair of computers and personal and household goods,"Computer programming, consultancy and related activities",Repair of computers and personal and household goods,3,,Repair of computers and personal and household goods
Broadcast Announcers and Radio Disc Jockeys,0.5,Programming and broadcasting activities,Programming and broadcasting activities,Programming and broadcasting activities,"Motion picture, video and television programme production, sound recording and music publishing activities",3,,Programming and broadcasting activities
Insurance Underwriters,0.5,Activities auxiliary to financial services and insurance activities,"Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,3,,Activities auxiliary to financial services and insurance activities
Sales Managers,0.5,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",3,,Activities of head offices; management consultancy activities
Fundraising Managers,0.5,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of membership organisations,Activities of head offices; management consultancy activities,3,,Activities of head offices; management consultancy activities
Water/Wastewater Engineers,0.5,Water transport,"Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply",3,,"Water collection, treatment and supply"
Music Therapists,0.5,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities",3,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"Office Clerks, General",0.5,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3,,Activities of head offices; management consultancy activities
Credit Analysts,0.5,Legal and accounting activities,Advertising and market research,Legal and accounting activities,Legal and accounting activities,3,,Legal and accounting activities
Radiologists,0.483333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Telecommunications,3,,"Other professional, scientific and technical activities"
"Geography Teachers, Postsecondary",0.48,Education,"Other professional, scientific and technical activities",Education,Education,3,,Education
Desktop Publishers,0.472222222222222,Publishing activities,Publishing activities,Publishing activities,Repair of computers and personal and household goods,3,,Publishing activities
Purchasing Managers,0.472222222222222,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Advertising and market research,3,,Activities of head offices; management consultancy activities
Quality Control Systems Managers,0.462962962962962,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Information service activities,3,,Activities of head offices; management consultancy activities
Human Resources Managers,0.461538461538461,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Employment activities,3,,Activities of head offices; management consultancy activities
Compensation and Benefits Managers,0.458333333333333,"Financial service activities, except insurance and pension funding",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3,,Activities of head offices; management consultancy activities
"Compensation, Benefits, and Job Analysis Specialists",0.458333333333333,Employment activities,"Other professional, scientific and technical activities",Employment activities,Employment activities,3,,Employment activities
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.456521739130434,Education,"Libraries, archives, museums and other cultural activities",Education,Education,3,,Education
Audiologists,0.454545454545454,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Printing and reproduction of recorded media,3,,"Motion picture, video and television programme production, sound recording and music publishing activities"
Information Technology Project Managers,0.452380952380952,Information service activities,Activities of head offices; management consultancy activities,Information service activities,Information service activities,3,,Information service activities
"Wholesale and Retail Buyers, Except Farm Products",0.45,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles",3,,"Wholesale trade, except of motor vehicles and motorcycles"
"Career/Technical Education Teachers, Postsecondary",0.45,"Other professional, scientific and technical activities",Education,Education,Education,3,,Education
"Directors, Religious Activities and Education",0.447368421052631,Education,Education,Activities of head offices; management consultancy activities,Education,3,,Education
Environmental Engineering Technologists and Technicians,0.442307692307692,"Other professional, scientific and technical activities",Civil engineering,Civil engineering,Civil engineering,3,,Civil engineering
Billing and Posting Clerks,0.433333333333333,Postal and courier activities,Postal and courier activities,Legal and accounting activities,Postal and courier activities,3,,Postal and courier activities
"Political Science Teachers, Postsecondary",0.431818181818181,Education,Education,Education,Public administration and defence; compulsory social security,3,,Education
Food Service Managers,0.428571428571428,Food and beverage service activities,Food and beverage service activities,Food and beverage service activities,Manufacture of food products,3,,Food and beverage service activities
Water Resource Specialists,0.428571428571428,"Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply",Water transport,3,,"Water collection, treatment and supply"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.423076923076923,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,3,,"Other professional, scientific and technical activities"
Economists,0.423076923076923,Education,Education,Education,Employment activities,3,,Education
"Environmental Science and Protection Technicians, Including Health",0.423076923076923,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,3,,"Other professional, scientific and technical activities"
"Library Science Teachers, Postsecondary",0.42,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",3,,"Other professional, scientific and technical activities"
"Business Teachers, Postsecondary",0.42,Education,Education,Education,"Office administrative, office support and other business support activities",3,,Education
Advanced Practice Psychiatric Nurses,0.416666666666666,Residential care activities,Residential care activities,Other personal service activities,Residential care activities,3,,Residential care activities
"Chemistry Teachers, Postsecondary",0.410714285714285,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of chemicals and chemical products,3,,"Other professional, scientific and technical activities"
Geodetic Surveyors,0.40625,Civil engineering,Civil engineering,Services to buildings and landscape activities,Civil engineering,3,,Civil engineering
Intelligence Analysts,0.4,Education,Security and investigation activities,Security and investigation activities,Security and investigation activities,3,,Security and investigation activities
"Teaching Assistants, Postsecondary",0.4,Education,"Computer programming, consultancy and related activities",Education,Education,3,,Education
"Nursing Instructors and Teachers, Postsecondary",0.396551724137931,Education,Education,Education,Residential care activities,3,,Education
"Sociology Teachers, Postsecondary",0.395833333333333,Education,Education,Education,Public administration and defence; compulsory social security,3,,Education
Mechanical Engineers,0.392857142857142,Civil engineering,Civil engineering,Manufacture of electrical equipment,Civil engineering,3,,Civil engineering
Petroleum Engineers,0.391304347826086,Civil engineering,Extraction of crude petroleum and natural gas,Extraction of crude petroleum and natural gas,Extraction of crude petroleum and natural gas,3,,Extraction of crude petroleum and natural gas
Electrical Engineers,0.386363636363636,Civil engineering,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,3,,Manufacture of electrical equipment
"Entertainment and Recreation Managers, Except Gambling",0.38235294117647,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,"Financial service activities, except insurance and pension funding",3,,Gambling and betting activities
Pharmacists,0.38095238095238,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of beverages,3,,Manufacture of basic pharmaceutical products and pharmaceutical preparations
"Psychology Teachers, Postsecondary",0.379310344827586,Education,Education,Education,Activities of head offices; management consultancy activities,3,,Education
Social and Human Service Assistants,0.375,Other personal service activities,Other personal service activities,Other personal service activities,Employment activities,3,,Other personal service activities
Lodging Managers,0.375,Accommodation,Accommodation,Activities of head offices; management consultancy activities,Accommodation,3,,Accommodation
General Internal Medicine Physicians,0.368421052631578,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,3,,"Other professional, scientific and technical activities"
Fire Inspectors and Investigators,0.366666666666666,Security and investigation activities,Security and investigation activities,Security and investigation activities,"Waste collection, treatment and disposal activities; materials recovery",3,,Security and investigation activities
Interior Designers,0.366666666666666,Manufacture of furniture,Specialised construction activities,Manufacture of furniture,Manufacture of furniture,3,,Manufacture of furniture
"Shipping, Receiving, and Inventory Clerks",0.363636363636363,Postal and courier activities,Postal and courier activities,Postal and courier activities,Legal and accounting activities,3,,Postal and courier activities
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.363636363636363,Food and beverage service activities,Food and beverage service activities,Accommodation,Food and beverage service activities,3,,Food and beverage service activities
Medical and Health Services Managers,0.361111111111111,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Human health activities,3,,Activities of head offices; management consultancy activities
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.357142857142857,"Office administrative, office support and other business support activities",Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,3,,Legal and accounting activities
Industrial Production Managers,0.357142857142857,Other manufacturing,Other manufacturing,Other manufacturing,Employment activities,3,,Other manufacturing
Neurologists,0.354166666666666,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
First-Line Supervisors of Police and Detectives,0.35,Security and investigation activities,Security and investigation activities,Security and investigation activities,Activities of head offices; management consultancy activities,3,,Security and investigation activities
Mental Health and Substance Abuse Social Workers,0.346153846153846,Social work activities without accommodation,Social work activities without accommodation,Social work activities without accommodation,Residential care activities,3,,Social work activities without accommodation
"Secondary School Teachers, Except Special and Career/Technical Education",0.34375,"Other professional, scientific and technical activities",Education,Education,Education,3,,Education
"Middle School Teachers, Except Special and Career/Technical Education",0.342857142857142,"Other professional, scientific and technical activities",Education,Education,Education,3,,Education
"Ophthalmologists, Except Pediatric",0.333333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Financial service activities, except insurance and pension funding",3,,"Other professional, scientific and technical activities"
Clinical Nurse Specialists,0.333333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,3,,"Other professional, scientific and technical activities"
Electrical and Electronic Engineering Technologists and Technicians,0.333333333333333,"Other professional, scientific and technical activities",Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,3,,Manufacture of electrical equipment
Baggage Porters and Bellhops,0.323529411764705,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Warehousing and support activities for transportation,"Office administrative, office support and other business support activities",3,,Warehousing and support activities for transportation
Government Property Inspectors and Investigators,0.321428571428571,Security and investigation activities,Security and investigation activities,Security and investigation activities,Activities of extraterritorial organisations and bodies,3,,Security and investigation activities
Agricultural Engineers,0.321428571428571,Civil engineering,Civil engineering,Civil engineering,"Crop and animal production, hunting and related service activities",3,,Civil engineering
Childcare Workers,0.32,Residential care activities,Employment activities,Residential care activities,Residential care activities,3,,Residential care activities
Amusement and Recreation Attendants,0.31578947368421,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,"Creative, arts and entertainment activities",3,,Sports activities and amusement and recreation activities
Nurse Practitioners,0.314814814814814,Residential care activities,Other personal service activities,Residential care activities,Residential care activities,3,,Residential care activities
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3125,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities",3,,"Creative, arts and entertainment activities"
Materials Engineers,0.309523809523809,Civil engineering,Civil engineering,Manufacture of electrical equipment,Civil engineering,3,,Civil engineering
"Special Education Teachers, Preschool",0.305555555555555,Education,Employment activities,Education,Education,3,,Education
Anesthesiologists,0.305555555555555,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,3,,"Other professional, scientific and technical activities"
Media Technical Directors/Managers,0.3,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Activities of head offices; management consultancy activities,3,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"Kindergarten Teachers, Except Special Education",0.297297297297297,Education,Education,Education,"Insurance, reinsurance and pension funding, except compulsory social security",3,,Education
"Physicians, Pathologists",0.289473684210526,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,3,,"Other professional, scientific and technical activities"
Neuropsychologists,0.285714285714285,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
Radiologic Technologists and Technicians,0.283333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of electrical equipment,3,,"Other professional, scientific and technical activities"
First-Line Supervisors of Correctional Officers,0.282608695652173,Activities of head offices; management consultancy activities,Security and investigation activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3,,Activities of head offices; management consultancy activities
Marriage and Family Therapists,0.28125,Activities of households as employers of domestic personnel,Other personal service activities,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,3,,Activities of households as employers of domestic personnel
Clinical Neuropsychologists,0.277777777777777,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
"Patternmakers, Wood",0.275,Manufacture of furniture,Manufacture of furniture,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of furniture,3,,Manufacture of furniture
Personal Care Aides,0.272727272727272,Residential care activities,Other personal service activities,Residential care activities,Residential care activities,3,,Residential care activities
Facilities Managers,0.272727272727272,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Information service activities,3,,Activities of head offices; management consultancy activities
Museum Technicians and Conservators,0.269230769230769,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities","Other professional, scientific and technical activities","Libraries, archives, museums and other cultural activities",3,,"Libraries, archives, museums and other cultural activities"
"Cooks, Private Household",0.269230769230769,Undifferentiated goods- and services-producing activities of private households for own use,Activities of households as employers of domestic personnel,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods- and services-producing activities of private households for own use,3,,Undifferentiated goods- and services-producing activities of private households for own use
Aviation Inspectors,0.266666666666666,Security and investigation activities,Air transport,Air transport,Air transport,3,,Air transport
Nuclear Medicine Technologists,0.264705882352941,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
Medical Equipment Repairers,0.263157894736842,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Human health activities,3,,Repair and installation of machinery and equipment
First-Line Supervisors of Security Workers,0.261904761904761,Security and investigation activities,Security and investigation activities,Security and investigation activities,Activities of head offices; management consultancy activities,3,,Security and investigation activities
Nuclear Technicians,0.261904761904761,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of electrical equipment,3,,"Other professional, scientific and technical activities"
Naturopathic Physicians,0.25,Human health activities,Veterinary activities,Human health activities,Human health activities,3,,Human health activities
Adapted Physical Education Specialists,0.25,Education,"Other professional, scientific and technical activities",Education,Education,3,,Education
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.25,Services to buildings and landscape activities,Activities of households as employers of domestic personnel,Services to buildings and landscape activities,Services to buildings and landscape activities,3,,Services to buildings and landscape activities
Light Truck Drivers,0.25,"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of basic metals,3,,"Manufacture of motor vehicles, trailers and semi-trailers"
Taxi Drivers,0.25,"Travel agency, tour operator and other reservation service and related activities",Air transport,Air transport,Air transport,3,,Air transport
"Makeup Artists, Theatrical and Performance",0.238095238095238,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities",3,,"Creative, arts and entertainment activities"
Clergy,0.238095238095238,Education,Other personal service activities,Education,Education,3,,Education
Craft Artists,0.233333333333333,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities",Manufacture of machinery and equipment n.e.c.,3,,"Creative, arts and entertainment activities"
"Orthopedic Surgeons, Except Pediatric",0.233333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Financial service activities, except insurance and pension funding",3,,"Other professional, scientific and technical activities"
Correctional Officers and Jailers,0.23076923076923,Security and investigation activities,Other personal service activities,Security and investigation activities,Security and investigation activities,3,,Security and investigation activities
Transportation Security Screeners,0.23076923076923,Security and investigation activities,Security and investigation activities,Security and investigation activities,Warehousing and support activities for transportation,3,,Security and investigation activities
"Airline Pilots, Copilots, and Flight Engineers",0.23076923076923,"Other professional, scientific and technical activities",Air transport,Air transport,Air transport,3,,Air transport
Occupational Therapy Assistants,0.227272727272727,Employment activities,Residential care activities,Employment activities,Employment activities,3,,Employment activities
Photographers,0.224137931034482,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Activities of membership organisations,3,,"Motion picture, video and television programme production, sound recording and music publishing activities"
Medical and Clinical Laboratory Technologists,0.21875,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
Security and Fire Alarm Systems Installers,0.21875,Security and investigation activities,Security and investigation activities,Security and investigation activities,Manufacture of electrical equipment,3,,Security and investigation activities
Licensed Practical and Licensed Vocational Nurses,0.217391304347826,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,3,,"Other professional, scientific and technical activities"
Costume Attendants,0.214285714285714,Manufacture of wearing apparel,Other personal service activities,Manufacture of wearing apparel,Manufacture of wearing apparel,3,,Manufacture of wearing apparel
First-Line Supervisors of Construction Trades and Extraction Workers,0.2,Specialised construction activities,Specialised construction activities,Specialised construction activities,Mining support service activities,3,,Specialised construction activities
"Computer, Automated Teller, and Office Machine Repairers",0.2,Repair of computers and personal and household goods,Repair of computers and personal and household goods,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities",3,,Repair of computers and personal and household goods
Paramedics,0.192307692307692,Human health activities,"Other professional, scientific and technical activities",Human health activities,Human health activities,3,,Human health activities
Commercial Pilots,0.192307692307692,Telecommunications,Air transport,Air transport,Air transport,3,,Air transport
Critical Care Nurses,0.189655172413793,Residential care activities,Residential care activities,Residential care activities,Human health activities,3,,Residential care activities
Neurodiagnostic Technologists,0.1875,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",3,,"Other professional, scientific and technical activities"
"Umpires, Referees, and Other Sports Officials",0.1875,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,"Other professional, scientific and technical activities",3,,Sports activities and amusement and recreation activities
Radiation Therapists,0.181818181818181,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,3,,"Other professional, scientific and technical activities"
Cardiovascular Technologists and Technicians,0.18,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3,,"Other professional, scientific and technical activities"
Biofuels Production Managers,0.178571428571428,Manufacture of coke and refined petroleum products,Manufacture of coke and refined petroleum products,Manufacture of coke and refined petroleum products,Manufacture of food products,3,,Manufacture of coke and refined petroleum products
Massage Therapists,0.178571428571428,Other personal service activities,Other personal service activities,Other personal service activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,3,,Other personal service activities
"Patternmakers, Metal and Plastic",0.166666666666666,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment",Manufacture of rubber and plastic products,3,,"Manufacture of fabricated metal products, except machinery and equipment"
Baristas,0.157894736842105,Food and beverage service activities,Food and beverage service activities,Food and beverage service activities,Manufacture of food products,3,,Food and beverage service activities
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.15625,Manufacture of electrical equipment,Repair and installation of machinery and equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,3,,Manufacture of electrical equipment
Printing Press Operators,0.152173913043478,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Manufacture of paper and paper products,3,,Printing and reproduction of recorded media
Ship Engineers,0.147058823529411,Civil engineering,Civil engineering,Manufacture of other transport equipment,Civil engineering,3,,Civil engineering
"Model Makers, Wood",0.142857142857142,Manufacture of furniture,Manufacture of furniture,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of furniture,3,,Manufacture of furniture
