task_name,pct,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
"sort and file correspondence and perform miscellaneous clerical duties, such as answering correspondence and writing reports.",0.0096415681880366,Postal and courier activities,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
"speak to community groups to explain and interpret agency purposes, programs, and policies.",0.0048207840940183,"Travel agency, tour operator and other reservation service and related activities",Residential care activities,Activities of membership organisations,Activities of membership organisations,2.0,,Activities of membership organisations
"specify food portions and courses, production and time sequences, and workstation and equipment arrangements.",0.0033875780120128,Food and beverage service activities,Food and beverage service activities,Manufacture of food products,Manufacture of food products,2.0,,Food and beverage service activities
specify inputs accessed by the system and plan the distribution and use of the results.,0.0052116584800198,Printing and reproduction of recorded media,Architectural and engineering activities; technical testing and analysis,Information service activities,Information service activities,2.0,,Information service activities
stay informed of the latest styles and hair care techniques.,0.0056025328660212,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Veterinary activities,Manufacture of wearing apparel,2.0,,Activities of head offices; management consultancy activities
"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",0.287292673711091,Mining support service activities,Architectural and engineering activities; technical testing and analysis,Information service activities,Information service activities,2.0,,Information service activities
study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.,0.119086396268452,Activities auxiliary to financial services and insurance activities,Human health activities,Activities auxiliary to financial services and insurance activities,Advertising and market research,2.0,,Activities auxiliary to financial services and insurance activities
"study and document quantities, distribution, disposition, and development of underground and surface waters.",0.0066448645620252,Water transport,"Water collection, treatment and supply",Water transport,"Water collection, treatment and supply",2.0,,Water transport
study and research scripts to determine how they should be directed.,0.0093809852640356,"Computer programming, consultancy and related activities",Scientific research and development,Scientific research and development,Advertising and market research,2.0,,Scientific research and development
study blueprints and examine surface to be covered to determine amount of material needed.,0.0083386535680316,Manufacture of paper and paper products,Architectural and engineering activities; technical testing and analysis,Manufacture of paper and paper products,Architectural and engineering activities; technical testing and analysis,2.0,,Manufacture of paper and paper products
"study blueprints, design specifications, or manufacturers' recommendations to ascertain the configuration of heating or cooling equipment components and to ensure the proper installation of components.",0.0097718596500371,"Electricity, gas, steam and air conditioning supply",Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Electricity, gas, steam and air conditioning supply",2.0,,"Electricity, gas, steam and air conditioning supply"
study documentation or other information for new scientific or technical products.,0.0975883050383708,"Other professional, scientific and technical activities",Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,2.0,,"Other professional, scientific and technical activities"
"study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",0.0125079803520475,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Employment activities,"Crop and animal production, hunting and related service activities",2.0,,"Other professional, scientific and technical activities"
"study illustrations and photographs to plan presentation of materials, products, or services.",0.0046904926320178,"Other professional, scientific and technical activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities",Advertising and market research,2.0,,"Creative, arts and entertainment activities"
"study industrial processes to maximize the efficiency of equipment applications, including equipment placement.",0.0027361207020103,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Architectural and engineering activities; technical testing and analysis,2.0,,Repair and installation of machinery and equipment
"study machining instructions, job orders, or blueprints to determine dimensional or finish specifications, sequences of operations, setups, or tooling requirements.",0.0019543719300074,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Manufacture of machinery and equipment n.e.c.,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
study nutritional requirements of animals and nutritive values of animal feed materials.,0.0035178694740133,"Crop and animal production, hunting and related service activities",Manufacture of food products,Veterinary activities,"Crop and animal production, hunting and related service activities",2.0,,"Crop and animal production, hunting and related service activities"
"study objects and structures recovered by excavation to identify, date, and authenticate them and to interpret their significance.",0.012638271814048,Specialised construction activities,Specialised construction activities,"Waste collection, treatment and disposal activities; materials recovery",Architectural and engineering activities; technical testing and analysis,2.0,,Specialised construction activities
"study operations sequence, material flow, functional statements, organization charts, and project information to determine worker functions and responsibilities.",0.0037784523980143,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,Employment activities,Employment activities,2.0,,Employment activities
study original pieces of music to become familiar with them prior to making any changes.,0.0032572865500123,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",Printing and reproduction of recorded media,2.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"study production information, such as character descriptions, period settings, and situations in order to determine makeup requirements.",0.0026058292400099,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Manufacture of wearing apparel,Architectural and engineering activities; technical testing and analysis,2.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
study scripts to become familiar with production concepts and requirements.,0.0532892079582024,"Computer programming, consultancy and related activities","Motion picture, video and television programme production, sound recording and music publishing activities","Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,2.0,,"Computer programming, consultancy and related activities"
"study the chemistry of living processes, such as cell development, breathing and digestion, or living energy changes, such as growth, aging, or death.",0.0026058292400099,Scientific research and development,Manufacture of chemicals and chemical products,Scientific research and development,Manufacture of chemicals and chemical products,2.0,,Scientific research and development
"study the economic, political, and cultural characteristics of a specific region's population.",0.0359604435121366,"Libraries, archives, museums and other cultural activities","Crop and animal production, hunting and related service activities","Libraries, archives, museums and other cultural activities",Activities of membership organisations,2.0,,"Libraries, archives, museums and other cultural activities"
"study the structure and function of human, animal and plant tissues, cells, pathogens and toxins.",0.0050813670180193,Human health activities,Scientific research and development,Scientific research and development,Manufacture of chemicals and chemical products,2.0,,Scientific research and development
"study work order requests to determine type of service, such as lighting or power, demanded by installation.",0.0045602011700173,Mining support service activities,Architectural and engineering activities; technical testing and analysis,Information service activities,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
"submit preliminary or finished artwork or project plans to clients for approval, incorporating changes as necessary.",0.0054722414040207,Publishing activities,Specialised construction activities,Publishing activities,Architectural and engineering activities; technical testing and analysis,2.0,,Publishing activities
"submit project deliverables, ensuring adherence to quality standards.",0.0019543719300074,Publishing activities,Architectural and engineering activities; technical testing and analysis,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
suggest specific product purchases to meet customers' needs.,0.025015960704095,"Retail trade, except of motor vehicles and motorcycles",Advertising and market research,"Retail trade, except of motor vehicles and motorcycles",Warehousing and support activities for transportation,2.0,,"Retail trade, except of motor vehicles and motorcycles"
supervise and work with volunteers.,0.0035178694740133,Employment activities,Other personal service activities,Activities of membership organisations,Employment activities,2.0,,Employment activities
supervise research projects and students' study projects.,0.0026058292400099,"Computer programming, consultancy and related activities","Other professional, scientific and technical activities",Scientific research and development,"Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"supervise staff, volunteers, practicum students, or interns.",0.0045602011700173,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,2.0,,"Other professional, scientific and technical activities"
"supervise students' fieldwork, internship, and research work.",0.0020846633920079,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Activities of head offices; management consultancy activities,Employment activities,2.0,,"Other professional, scientific and technical activities"
"supply the latest price quotes on any security, as well as information on the activities or financial positions of the corporations issuing these securities.",0.0061236987140232,Security and investigation activities,"Manufacture of computer, electronic and optical products",Security and investigation activities,Advertising and market research,2.0,,Security and investigation activities
support the development of training materials and technical manuals.,0.0026058292400099,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Repair and installation of machinery and equipment,2.0,,"Other professional, scientific and technical activities"
"synthesize analyses of test results, and use the results to prepare technical reports of findings and recommendations.",0.106838998840405,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,Architectural and engineering activities; technical testing and analysis,2.0,,Scientific research and development
"take dictation using shorthand, a stenotype machine, or headsets and transcribing machines.",0.0033875780120128,Telecommunications,Printing and reproduction of recorded media,Manufacture of machinery and equipment n.e.c.,Printing and reproduction of recorded media,2.0,,Printing and reproduction of recorded media
teach classes in mental health topics such as stress reduction.,0.0062539901760237,Education,Other personal service activities,Education,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0,,Education
teach instructors to use instructional technology or to integrate technology with teaching.,0.0070357389480267,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Education,2.0,,"Other professional, scientific and technical activities"
"teach library patrons basic computer skills, such as searching computerized databases.",0.0050813670180193,"Computer programming, consultancy and related activities",Information service activities,"Computer programming, consultancy and related activities",Repair of computers and personal and household goods,2.0,,"Computer programming, consultancy and related activities"
teach or advise undergraduate or graduate students or supervise their research.,0.0212375083060807,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,"Computer programming, consultancy and related activities",2.0,,"Other professional, scientific and technical activities"
teach or supervise students and perform research at universities and colleges.,0.0062539901760237,Education,"Other professional, scientific and technical activities",Education,"Computer programming, consultancy and related activities",2.0,,Education
teach patient education programs that include information required to make informed health care and treatment decisions.,0.0052116584800198,Education,Education,Human health activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0,,Education
teach patients how to deal constructively with their emotions.,0.0231918802360881,Human health activities,Residential care activities,Human health activities,Activities of head offices; management consultancy activities,2.0,,Human health activities
"teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.",0.0089901108780341,Education,Sports activities and amusement and recreation activities,Education,Human health activities,2.0,,Education
"teach students, dancers, and other performers about rhythm and interpretive movement.",0.0058631157900222,"Creative, arts and entertainment activities","Creative, arts and entertainment activities",Education,Sports activities and amusement and recreation activities,2.0,,"Creative, arts and entertainment activities"
"teach, take continuing education classes, attend conferences or seminars, or conduct research and publish findings to increase understanding of mental, emotional, or behavioral states or disorders.",0.0093809852640356,Education,"Other professional, scientific and technical activities",Education,"Computer programming, consultancy and related activities",2.0,,Education
"tend or operate and control equipment such as kettles, cookers, vats and tanks, and boilers, to cook ingredients or prepare products for further processing.",0.0022149548540084,"Electricity, gas, steam and air conditioning supply",Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.,"Electricity, gas, steam and air conditioning supply",2.0,,"Electricity, gas, steam and air conditioning supply"
test and charge batteries.,0.0155046839780589,"Electricity, gas, steam and air conditioning supply",Repair of computers and personal and household goods,Manufacture of electrical equipment,Manufacture of electrical equipment,2.0,,Manufacture of electrical equipment
"test and troubleshoot instruments, components, and assemblies, using circuit testers, oscilloscopes, or voltmeters.",0.0019543719300074,Manufacture of electrical equipment,Repair and installation of machinery and equipment,Manufacture of electrical equipment,Repair and installation of machinery and equipment,2.0,,Manufacture of electrical equipment
"test gas, chemicals, and air during processing to assess factors such as purity and moisture content, and to detect quality problems or gas or chemical leaks.",0.0036481609360138,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Extraction of crude petroleum and natural gas,Remediation activities and other waste management services,2.0,,Manufacture of chemicals and chemical products
"test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.",0.283253638389076,Manufacture of machinery and equipment n.e.c.,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,2.0,,Architectural and engineering activities; technical testing and analysis
test magnetic resonance imaging (mri) equipment to ensure proper functioning and performance in accordance with specifications.,0.0061236987140232,Repair and installation of machinery and equipment,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,2.0,,Repair and installation of machinery and equipment
"test materials and solutions, using testing equipment.",0.0019543719300074,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,2.0,,Architectural and engineering activities; technical testing and analysis
"test metals to determine conformance to specifications of mechanical strength, strength-weight ratio, ductility, magnetic and electrical properties, and resistance to abrasion, corrosion, heat, and cold.",0.0040390353220153,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of basic metals,Architectural and engineering activities; technical testing and analysis,2.0,,Manufacture of basic metals
"test or calibrate components or equipment, following manufacturers' manuals and troubleshooting techniques, using hand tools, power tools, or measuring devices.",0.0213677997680811,Manufacture of electrical equipment,Repair and installation of machinery and equipment,Manufacture of electrical equipment,Repair and installation of machinery and equipment,2.0,,Manufacture of electrical equipment
"test performance of electromechanical assemblies, using test instruments such as oscilloscopes, electronic voltmeters, or bridges.",0.0428658909981628,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,2.0,,Manufacture of electrical equipment
"test programs or databases, correct errors, and make necessary modifications.",0.243123868092923,Repair of computers and personal and household goods,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities",2.0,,Architectural and engineering activities; technical testing and analysis
"test timepiece accuracy and performance, using meters and other electronic instruments.",0.0023452463160089,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products",2.0,,Architectural and engineering activities; technical testing and analysis
"ticket, arrange, and display merchandise to promote sales.",0.0024755377780094,Warehousing and support activities for transportation,"Office administrative, office support and other business support activities",Advertising and market research,Advertising and market research,2.0,,Advertising and market research
"trace historical development in a particular field, such as social, cultural, political, or diplomatic history.",0.038435981290146,"Libraries, archives, museums and other cultural activities","Other professional, scientific and technical activities","Libraries, archives, museums and other cultural activities",Security and investigation activities,2.0,,"Libraries, archives, museums and other cultural activities"
"track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.",0.0297064533361128,Warehousing and support activities for transportation,"Retail trade, except of motor vehicles and motorcycles",Advertising and market research,Advertising and market research,2.0,,Advertising and market research
"transcribe, type, and distribute reports of diagnostic procedures for interpretation by physician.",0.0022149548540084,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0,,"Other professional, scientific and technical activities"
translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.,0.0100324425740381,"Office administrative, office support and other business support activities",Information service activities,Information service activities,Architectural and engineering activities; technical testing and analysis,2.0,,Information service activities
"translate nursing practice information between nurses and systems engineers, analysts, or designers using object-oriented models or other techniques.",0.0054722414040207,"Other professional, scientific and technical activities",Residential care activities,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities",2.0,,"Other professional, scientific and technical activities"
translate or request translation of reference materials.,0.0035178694740133,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities",Scientific research and development,Information service activities,2.0,,"Libraries, archives, museums and other cultural activities"
"transmit information or documents to customers, using computer, mail, or facsimile machine.",0.0119868145040455,Telecommunications,"Office administrative, office support and other business support activities",Postal and courier activities,"Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
"transpose music to alternate keys, or to fit individual styles or purposes.",0.0020846633920079,"Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",2.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"treat minor cuts, abrasions, or contusions.",0.0145926437440554,Veterinary activities,"Other professional, scientific and technical activities",Human health activities,Human health activities,2.0,,Human health activities
treat wounds or superficial lacerations.,0.0035178694740133,Veterinary activities,Veterinary activities,Manufacture of leather and related products,Human health activities,2.0,,Veterinary activities
"troubleshoot problems with equipment, devices, or products.",0.0035178694740133,Repair of computers and personal and household goods,Repair of computers and personal and household goods,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,2.0,,Repair of computers and personal and household goods
"tune or adjust equipment and instruments to obtain optimum visual or auditory reception, according to specifications, manuals, and drawings.",0.0033875780120128,Telecommunications,Repair and installation of machinery and equipment,"Motion picture, video and television programme production, sound recording and music publishing activities",Repair and installation of machinery and equipment,2.0,,Repair and installation of machinery and equipment
"turn or reposition bedridden patients, alone or with assistance, to prevent bedsores.",0.0041693267840158,Residential care activities,Residential care activities,Accommodation,Social work activities without accommodation,2.0,,Residential care activities
"type, file, and duplicate materials.",0.0048207840940183,"Waste collection, treatment and disposal activities; materials recovery",Manufacture of paper and paper products,Manufacture of paper and paper products,"Waste collection, treatment and disposal activities; materials recovery",2.0,,"Waste collection, treatment and disposal activities; materials recovery"
update and maintain content posted on the web.,0.0155046839780589,Publishing activities,Information service activities,Publishing activities,Information service activities,2.0,,Publishing activities
update automated test scripts to ensure currency.,0.012377688890047,Repair of computers and personal and household goods,Repair of computers and personal and household goods,"Computer programming, consultancy and related activities",Advertising and market research,2.0,,Repair of computers and personal and household goods
use computer software to generate new images.,0.0089901108780341,Printing and reproduction of recorded media,Printing and reproduction of recorded media,"Manufacture of computer, electronic and optical products","Computer programming, consultancy and related activities",2.0,,Printing and reproduction of recorded media
"use computers, audio-visual aids, and other equipment and materials to supplement presentations.",0.012898854738049,"Other professional, scientific and technical activities",Printing and reproduction of recorded media,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"use data entry devices, such as optical scanners, to input data into computers for revision or editing.",0.0024755377780094,Printing and reproduction of recorded media,Printing and reproduction of recorded media,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products",2.0,,Printing and reproduction of recorded media
use informatics science to design or implement health information technology applications to resolve clinical or health care administrative problems.,0.0052116584800198,"Other professional, scientific and technical activities",Information service activities,Information service activities,Human health activities,2.0,,Information service activities
"use materials such as pens and ink, watercolors, charcoal, oil, or computer software to create artwork.",0.0190225534520722,Manufacture of paper and paper products,"Creative, arts and entertainment activities",Manufacture of paper and paper products,"Computer programming, consultancy and related activities",2.0,,Manufacture of paper and paper products
"use microcontrollers to develop control signals, implement control algorithms, or measure process variables, such as temperatures, pressures, or positions.",0.0020846633920079,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products","Electricity, gas, steam and air conditioning supply",Repair and installation of machinery and equipment,2.0,,"Manufacture of computer, electronic and optical products"
vary language and tone of messages based on product and medium.,0.0987609281963752,Programming and broadcasting activities,Advertising and market research,Programming and broadcasting activities,Other manufacturing,2.0,,Programming and broadcasting activities
"verify adherence of documentation to customs, insurance, or regulatory requirements.",0.0026058292400099,Wholesale and retail trade and repair of motor vehicles and motorcycles,Security and investigation activities,Legal and accounting activities,Legal and accounting activities,2.0,,Legal and accounting activities
"verify conformance of patterns or template dimensions to specifications, using measuring instruments such as calipers, scales, and micrometers.",0.012377688890047,Printing and reproduction of recorded media,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,2.0,,Architectural and engineering activities; technical testing and analysis
"verify dimensions of cable assemblies or positions of fittings, using measuring instruments.",0.0024755377780094,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Repair and installation of machinery and equipment,2.0,,Manufacture of electrical equipment
verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,0.0045602011700173,Security and investigation activities,Security and investigation activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,Security and investigation activities
"verify the authenticity of documents, such as foreign identification or immigration documents.",0.0080780706440306,Security and investigation activities,Security and investigation activities,Legal and accounting activities,Activities of extraterritorial organisations and bodies,2.0,,Security and investigation activities
"verify the structure, accuracy, or quality of warehouse data.",0.0024755377780094,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Architectural and engineering activities; technical testing and analysis,Legal and accounting activities,2.0,,Warehousing and support activities for transportation
"work as part of a healthcare team to assess patient needs, plan and modify care, and implement interventions.",0.0026058292400099,Residential care activities,Residential care activities,Human health activities,Human health activities,2.0,,Residential care activities
"work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.",0.01315943766205,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Other professional, scientific and technical activities",2.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
work with clients to identify their financial goals and to find ways of reaching those goals.,0.0097718596500371,"Financial service activities, except insurance and pension funding",Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,"Office administrative, office support and other business support activities",2.0,,Activities auxiliary to financial services and insurance activities
write about and present research findings for a variety of specialized and general audiences.,0.104363461062396,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,"Other professional, scientific and technical activities",2.0,,Scientific research and development
write and publish articles in scientific journals.,0.0031269950880118,Scientific research and development,"Other professional, scientific and technical activities",Publishing activities,Scientific research and development,2.0,,Scientific research and development
write articles or pamphlets about products.,0.0050813670180193,Manufacture of paper and paper products,Advertising and market research,Publishing activities,Publishing activities,2.0,,Publishing activities
"write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",0.170290940834647,Publishing activities,Advertising and market research,Publishing activities,"Office administrative, office support and other business support activities",2.0,,Publishing activities
"write articles, manuals, and other publications, and assist in the distribution of promotional literature about facilities and programs.",0.18970436867272,Publishing activities,"Other professional, scientific and technical activities",Publishing activities,Warehousing and support activities for transportation,2.0,,Publishing activities
"write articles, white papers, and reports to share research findings and educate others.",0.0398691873721515,Scientific research and development,"Other professional, scientific and technical activities",Publishing activities,"Other professional, scientific and technical activities",2.0,,"Other professional, scientific and technical activities"
"write changes directly into compositions, or use computer software to make changes.",0.151138095920574,Publishing activities,Publishing activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,Publishing activities
write detailed functional specifications that document the hardware development process and support hardware introduction.,0.03947831298615,"Manufacture of computer, electronic and optical products",Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
"write drafts of legislative proposals, and prepare speeches, correspondence, and policy papers for governmental use.",0.0155046839780589,Publishing activities,"Other professional, scientific and technical activities",Publishing activities,"Office administrative, office support and other business support activities",2.0,,Publishing activities
write engineering specifications to clarify design details or functional criteria of experimental electronics units.,0.0230615887740876,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
"write letters related to labor relations activities, such as letters to amend collective bargaining agreements, letters of dispute or conciliation, or letters to seek clarification of contract terms.",0.0029967036260113,Employment activities,Employment activities,Postal and courier activities,Activities of households as employers of domestic personnel,2.0,,Employment activities
write or revise standard operating procedures for logistics processes.,0.0078174877200297,Manufacture of other transport equipment,Warehousing and support activities for transportation,Manufacture of machinery and equipment n.e.c.,Warehousing and support activities for transportation,2.0,,Warehousing and support activities for transportation
"write or update standard operating procedures, work instructions, or policies.",0.0020846633920079,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Other professional, scientific and technical activities",Repair and installation of machinery and equipment,2.0,,"Office administrative, office support and other business support activities"
"write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.",0.500970671391903,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities",2.0,,"Creative, arts and entertainment activities"
write press releases or other media communications to promote clients.,0.0880770283123346,Publishing activities,Advertising and market research,Publishing activities,Advertising and market research,2.0,,Publishing activities
write reports on research findings and implications to contribute to general knowledge and to suggest potential changes in organizational functioning.,0.0836471186043178,Scientific research and development,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Scientific research and development,2.0,,Scientific research and development
write reports or case summaries to document investigations.,0.0069054474860262,Security and investigation activities,"Other professional, scientific and technical activities",Publishing activities,Security and investigation activities,2.0,,Security and investigation activities
"write reports or complete forms to document assessments, training, progress, or follow-up outcomes.",0.0053419499420202,Publishing activities,"Other professional, scientific and technical activities",Publishing activities,Architectural and engineering activities; technical testing and analysis,2.0,,Publishing activities
write reports or prepare presentations to communicate fundraising program data.,0.0059934072520227,Publishing activities,Information service activities,Publishing activities,Advertising and market research,2.0,,Publishing activities
"write reports or record data on testing techniques, laboratory equipment, or specifications to assist engineers.",0.0332243228101262,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
"write reports to summarize student performance, social growth, or physical development.",0.0373936495941421,Scientific research and development,"Creative, arts and entertainment activities",Education,Education,2.0,,Education
"write reports, maintain research information, or perform clerical duties.",0.026058292400099,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",2.0,,"Other professional, scientific and technical activities"
write research proposals or grant applications for submission to external bodies.,0.0049510755560188,"Other professional, scientific and technical activities",Scientific research and development,"Other professional, scientific and technical activities",Advertising and market research,2.0,,"Other professional, scientific and technical activities"
write research reports and other publications to document and communicate research findings.,0.0398691873721515,Scientific research and development,"Other professional, scientific and technical activities",Publishing activities,"Other professional, scientific and technical activities",2.0,,"Other professional, scientific and technical activities"
write sales outlines for use by staff.,0.0067751560240257,Publishing activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
"write social, legal, or economic impact statements to inform decision-makers for natural resource policies, standards, or programs.",0.0020846633920079,Forestry and logging,"Crop and animal production, hunting and related service activities",Services to buildings and landscape activities,"Crop and animal production, hunting and related service activities",2.0,,"Crop and animal production, hunting and related service activities"
write technical documents or academic articles to communicate study results or economic forecasts.,0.052898333572201,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Publishing activities,Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
write technical reports and draw charts that display statistics and data.,0.0020846633920079,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Information service activities,Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
"write technical reports or documentation such as deviation reports, testing protocols, and trend analyses.",0.0023452463160089,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
"write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",0.0203254680720772,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
write technical reports or prepare graphs or charts to document experimental results.,0.0241039204700915,Scientific research and development,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
